time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,cloudCover,pressure,ozone
2017-03-28 13:00:00,Mostly Cloudy,partly-cloudy-night,0,0,43.69,43.69,20.46,0.39,2.4,91,0.63,1020.72,322.67
2017-03-28 14:00:00,Partly Cloudy,partly-cloudy-night,0,0,42.17,42.17,19.91,0.41,1.51,80,0.46,1020.67,322.37
2017-03-28 15:00:00,Partly Cloudy,partly-cloudy-night,0,0,40.65,40.65,19.33,0.42,0.83,43,0.3,1020.62,322.07
2017-03-28 16:00:00,Clear,clear-night,0,0,39.12,39.12,18.74,0.43,1,339,0.13,1020.58,321.77
2017-03-28 17:00:00,Clear,clear-night,0,0,37.65,37.65,18.28,0.45,1.11,299,0.13,1020.73,321.68
2017-03-28 18:00:00,Clear,clear-night,0,0,36.38,36.38,17.89,0.47,1.46,265,0.13,1020.96,321.7
2017-03-28 19:00:00,Clear,clear-night,0,0,36.35,36.35,17.71,0.46,2.01,252,1021.16,321.77
2017-03-28 20:00:00,Clear,clear-day,0,0,38.32,38.32,17.9,0.43,2.4,256,0,1021.43,321.76
2017-03-28 21:00:00,Clear,clear-day,0,0,41.59,41.59,18.03,0.38,2.74,262,0,1021.63,321.8
2017-03-28 22:00:00,Clear,clear-day,0,0,44.67,43.44,18.2,0.34,3.2,264,0,1021.68,322.36
2017-03-28 23:00:00,Clear,clear-day,0,0,47.02,45.49,18.95,0.32,3.93,260,0,1021.53,323.72
2017-03-29 00:00:00,Clear,clear-day,0,0,49.13,47.33,20.07,0.31,4.78,256,0,1021.25,325.59
2017-03-29 01:00:00,Clear,clear-day,0,0,51.01,51.01,20.98,0.3,5.39,254,0,1020.94,327.54
2017-03-29 02:00:00,Clear,clear-day,0,0,52.99,52.99,21.59,0.29,5.68,255,0,1020.65,329.68
2017-03-29 03:00:00,Clear,clear-day,0,0,55.16,55.16,22.33,0.28,5.73,257,0,1020.3,331.9
2017-03-29 04:00:00,Clear,clear-day,0,0,57.22,57.22,23.38,0.27,5.41,259,0,1020.08,333.52
2017-03-29 05:00:00,Clear,clear-day,0,0,58.44,58.44,24.35,0.27,4.61,259,0,1020.07,334.16
2017-03-29 06:00:00,Clear,clear-day,0,0,55.64,55.64,22.35,0.27,3.42,259,0,1020.22,334.2
2017-03-29 07:00:00,Clear,clear-day,0,0,55.1,55.1,22.72,0.28,2.04,250,0,1020.54,334.09
2017-03-29 08:00:00,Clear,clear-night,0,0,53.8,53.8,23.04,0.3,1.23,177,0.06,1021.15,334.06
2017-03-29 09:00:00,Clear,clear-night,0,0,52.1,52.1,23.23,0.32,3.04,131,0.15,1021.87,333.88
2017-03-29 10:00:00,Clear,clear-night,0,0,50.37,50.37,23.3,0.34,4.59,120,0.23,1022.49,333.32
2017-03-29 11:00:00,Partly Cloudy,partly-cloudy-night,0,0,48.78,46.75,23.31,0.36,5.06,112,0.29,1022.97,332.19
2017-03-29 12:00:00,Partly Cloudy,partly-cloudy-night,0,0,47.17,44.91,23.23,0.39,4.97,102,0.35,1023.35,330.69
